,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
60,no it is stupid d’smellyio sisters,1,0,0,0,1,0
61,play this stupid shat,1,0,0,0,0,0
62,Like what the hell is this,1,0,0,0,0,0
63,I hate my life,1,0,0,0,0,0
64,hell no,0,0,0,0,0,0
65,Hell,0,0,0,0,0,0
66,why he is calling u idiot tho? 😮,1,0,0,0,0,0
67,Melanie is in hell now,1,0,0,0,0,0
68,suck ur wee,1,0,1,0,0,0
69,I hate stupid people too coz they r stupid,1,0,0,0,1,0
70,Whoever made this rp should go in hell,1,0,0,1,0,0
71,hell,0,0,0,0,0,0
72,I suck at all but at least I dont die in the beginning smfh,1,0,0,0,0,0
73,Hell nahh,1,0,0,0,0,0
74,shut up damn,1,0,0,1,0,0
75,Dont bother with salty lol he's tryna make yall look like an idiot when he is the moron himself,1,0,0,0,0,0
76,The hell,1,0,0,0,0,0
77,im stupid hbu?🙇,1,0,0,0,0,0
78,u just stupid,1,0,0,0,1,0
79,shut up rzr u loser,1,0,0,1,1,0
80,your memes suck shut up,1,0,0,1,0,0
81,cause im an idiot lol,1,0,0,0,0,0
82,yall suck,1,0,0,0,1,0
83,Shit up,1,0,0,0,0,0
84,you suck,1,0,0,0,1,0
85,And stupid too,1,0,0,0,1,0
86,do i are you have had stupid am?,1,0,0,0,1,0
87,What the hell is that,1,0,0,0,0,0
88,Stupid net tbh,1,0,0,0,0,0
89,do you have stupid brain idot,1,0,0,0,1,0
90,They suck,1,0,0,0,0,0
91,m stupid 😖,1,0,0,0,0,0
92,you're stupid,1,0,0,0,1,0
93,Are you gay?,1,0,0,0,1,1
94,The only idiot is you.,1,0,0,0,0,0
95,matye llok at the numbers u fkn idiot,1,0,0,0,1,0
96,25 k u idiot,1,0,0,0,1,0
97,shut up idiot,1,0,0,1,1,0
98,Who is this stupid Jerry guy?,1,0,0,0,1,1
99,Ur one big dumb f,1,0,0,0,1,0
100,~~~gay~~,1,0,0,0,1,1
101,**Fücking DONKEEY**,1,0,1,0,1,0
102,the hell is a karak?,1,0,0,0,0,0
103,Meebot is shit,1,0,0,0,0,0
104,Idiot,1,0,0,0,1,0
105,bc my stupid dog eat it,1,0,0,0,0,0
