,message,toxic,severe_toxic,obscene,threat,insult,identity_hate
11656,whoever says Aatrox is not balanced come suck my dick,1,0,0,0,0,0
11768,we out this bitch,1,0,1,0,1,0
12653,everyone has fucking shields...,1,0,1,0,1,0
13480,fuck aatrock,1,0,1,0,1,0
14073,you hit the wrong ass fool,1,0,0,0,0,0
14116,shake my dick,1,0,0,0,0,0
14136,smd = shake my dick?,1,0,0,0,0,0
14348,@Thebausffs just scared the shit out of my dog,1,0,0,0,0,0
14499,suck it xD,1,0,1,0,0,0
15202,get shit on,1,0,1,0,0,0
15207,fuck you bauffs,1,0,1,0,1,0
15804,U FUCKING DONUT,1,0,1,0,1,0
16002,fucked in the ass by riot games,1,0,0,0,0,0
16685,TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH,1,0,1,0,1,0
16841,bitch,1,0,1,0,1,0
16883,FUCK YOU BZUFS ratirlRiot ratirlRiot ratirlRiot,1,0,1,0,1,0
17012,gET shit on by top lulu,1,0,1,0,0,0
17171,he s gonna fuck you in your ass with he s team in tf ratirlLove ratirlRiot ratirlRiot,1,0,1,0,0,0
17480,gay,1,0,0,0,0,0
17511,fiesta fiesta pluma pluma gay,1,0,0,0,0,0
17621,titanic is shit as fck man,1,0,1,0,0,0
17792,TRANSMOCULATE SHIT,1,0,1,0,0,0
17993,fuck me pls,1,0,1,0,0,0
18006,IDIOT STOP COMPLAINING LUILW,1,0,0,0,0,0
18824,they would still shit on you with aatrox,1,0,1,0,0,0
19019,fuck that,1,0,1,0,1,0
19055,"""bro sylas youre so bad"" ""man fuck you, got kys"" ""DUde why does rumble not have prio vs veigar??!""",1,0,0,0,0,0
19145,how the FUCK does archangles not give cdr anymore like wtf ??????,1,0,1,0,0,0
19151,riven might just be good cause lethality items are fucking stupid even though cdr is meh,1,0,1,0,1,0
19154,Why is gragas so fucking fat,1,0,1,0,1,0
19270,fuck if I know,1,0,1,0,1,0
19400,holy shit PogU,1,0,0,0,0,0
19855,who the fuck knows,1,0,1,0,0,0
19932,IDIOT,1,0,0,0,1,0
20047,"@Thebausffs because u havent seen camille, its the most stupid shit right now",1,0,1,0,0,0
20141,fast as fuck boy,1,0,1,0,0,0
20151,gay,1,0,0,0,0,0
20153,because cosmic 1st is shit @Thebausffs,1,0,0,0,0,0
20211,Sadge 2020 is a bitch,1,0,1,0,1,0
20594,yes please fuck men,1,0,1,0,0,0
20951,THE FUCK,1,0,1,0,1,0
21064,fucking outplayed,1,0,1,0,1,0
21126,he fucking did it BibleThump,1,0,1,0,1,0
21166,fuck off yampers let me lick your butt monkeyLick BLELELE,1,0,1,0,0,0
21266,I SUCK,1,0,1,0,0,0
21283,have you guys tried goredrinker with sion? fucking broken ass item,1,0,1,0,0,0
21300,your team is dog shit lol,1,0,0,0,0,0
21530,the game is fucking doomed,1,0,1,0,0,0
21720,holy fast as fuck,1,0,1,0,0,0
21796,that harvesting shit mythic with gragas is insane tbh,1,0,0,0,0,0
22127,no that one is shit,1,0,1,0,0,0
