message,toxic,severe_toxic,obscene,threat,insult,identity_hate
oh shit BibleThump,1,0,1,0,0,0
ello everyone. hows it fucking going,1,0,1,0,1,0
ITS GOING FUCKING GOOD TOM,1,0,0,0,0,0
"@Tomshepmx going fucking great, you mate?",1,0,0,0,0,0
@kezzran good shit kezz lad. ye not fucking bad.,1,0,1,0,0,0
Fuck im procrastinating taking a wall out in my bedroom,1,0,1,0,0,0
aint nuttin to fuck wit,1,0,1,0,0,0
@skorpi0naexcj How did you fuck your stream snipe up that bad?,1,0,1,0,0,0
Start with this and upgrade if it's shit,1,0,0,0,0,0
fucking duct tape it,1,0,1,0,0,0
FUCK,1,0,1,0,1,0
@adooool18 @indzhag you nuts,1,0,0,0,1,0
@jrrod91 all of you is netz,1,0,0,0,1,0
how are you banananas today,1,0,0,0,0,0
damn it - hamit danucdLOL,1,0,0,0,0,0
Poor fattie,1,0,0,0,0,0
All the subs because your bananas love you danucdBukulove mtgngHype @DanucD,1,0,0,0,0,0
toxic spammer @hamitcankilic,1,0,0,0,0,0
its banana its banana,1,0,0,0,0,0
"Have a great day/night bananas, i gotta go . danucdHi Later danucdBukulove",1,0,0,0,0,0
f@#$in slay it forsenPls,1,0,1,0,0,0
don't you dare talk shit about Shocknomadic you RAT cunt mogRage,1,0,1,0,1,0
You shut your mouth when you're talking to @cinnova tglKEKW,1,0,0,0,1,0
they dont understand english. but if you start barking? they might bark you back.,1,0,0,0,1,0
"""Sou suck dick and balls""",1,0,1,0,0,0
asian player love to loot dude,1,0,0,0,0,1
Dominate the Korean cocks,1,0,0,0,0,1
Yellow is one feisty mother fucker,1,1,1,0,0,0
there are many cheaters in china,1,0,0,0,0,0
fuckendi,1,0,1,0,0,0
@keckzn paramo ther fcker,1,0,1,0,0,0
i prefer sancock over shitkendi,1,0,1,0,0,0
big balls < balls of steel,1,0,1,0,0,0
He called you a small ball,1,0,1,0,0,0
Feels like rats just spawn in randomly on these AS servers brkHmm,1,1,0,0,1,1
that's asian rat KEKW,1,1,0,0,1,1
Dude tglWtf,1,0,0,0,0,0
girls with nice voice mostly ugly or fat,1,0,0,0,1,0
do you wanna play na or eu because this shit so hard LUL,1,0,1,0,0,0
"@keckzn have a time out, come back when you're done saying dumb shit",1,0,1,0,0,0
whats up you little rat dog,1,0,0,0,1,0
Queue in SEA so fcking long like 10minutes,1,0,1,0,0,0
mud means fkd,1,0,1,0,0,0
not fuxx...,1,0,1,0,0,0
i was laughing my pants off coz his aim was TRASH,1,0,0,0,0,0
"fuk it ,, life is expensive,.,, just spend the do",1,0,1,0,0,0
Fucking troll,1,0,1,0,0,0
He brings the fckn hype i nthe gmae,1,0,1,0,0,0
@SILERZZ why you here go stream pussy,1,0,1,0,0,0
pussy?,1,0,1,0,0,0
"if its dead game, leave it in grave with fckiiiing PEACE guys Kappa",1,0,1,0,0,0
SUCK,1,0,0,0,0,0
but it sucks that we dont have enough player to do that now @hambinooo,1,0,0,0,0,0
@RuralBiscuits damn - i knew it!,1,0,0,0,0,0
what a dick,1,0,1,0,0,0
damnnn,1,0,0,0,0,0
wtffffffffffffff,1,0,0,0,0,0
daaaaam,1,0,0,0,0,0
damn so thats what keeps happening to me lol,1,0,0,0,0,0
F for that guy,1,0,1,0,0,0
