message,toxic,severe_toxic,obscene,threat,insult,identity_hate
BUSSERS BOUNCE DAT ASS,1,0,1,0,0,0
MY ASS,1,0,1,0,0,0
holy shit,1,0,0,0,0,0
yo fuck those little golems,1,0,1,0,1,0
fuck monkaW,1,0,1,0,0,0
Holy fuck,1,0,1,0,0,0
holy shit,1,0,0,0,0,0
that is to fucking insane,1,0,1,0,0,0
holy shit,1,0,0,0,0,0
HOLY SHIT karthus busted KEKW,1,0,0,0,0,0
FUCK YES,1,0,1,0,0,0
HOLY FUCK monkaS,1,0,1,0,0,0
holy shit,1,0,0,0,0,0
jg so fucking useless KEKW,1,0,1,0,0,0
the ass harvest,1,0,1,0,0,0
FUCK U @sneakylol peepoPog,1,0,1,0,0,0
when you're VIP you get to suck Sneaky's dick btw,1,0,1,0,0,0
gonna shit brb,1,0,1,0,0,0
there is no more big fucking sword tho ladleCry,1,0,1,0,0,0
or until u get shit on LUL,1,0,0,0,0,0
CORKI and EZREAL do FUCKING INSANE damage,1,0,1,0,0,0
Double tear was fun too Sadge fuck riot,1,0,1,0,0,0
why the fuck is the queue 12 minutes??!,1,0,1,0,0,0
uniclr is the shit,1,0,1,0,0,0
what is this jrock shit,1,0,1,0,0,0
rageblade with crit cloak stack feels so fucking good @sneakylol,1,0,1,0,0,0
Wiping shit WutFace,1,0,0,0,0,0
is xayah still shit @sneakylol,1,0,1,0,0,0
fuck u i didnt achieve my goal so i will fuck ur goal KEKW,1,0,1,0,1,0
Kraken seems op as fuck on vayne,1,0,1,0,0,0
jhin is fucking cancer],1,0,1,0,0,0
shieldbow is fucking broken,1,0,1,0,0,0
BabyRage This one is ass mr sneaky,1,0,1,0,0,0
Toplane is so fucking doomed,1,0,1,0,1,0
fuck,1,0,1,0,0,0
That was almost 11/10 clean as fuck,1,0,1,0,0,0
holy shit,1,0,0,0,0,0
Fuck off RIOT GAMES,1,0,1,0,0,0
o shit,1,0,1,0,0,0
hholy shit fiora is broken,1,0,0,0,0,0
bitch EZ,1,0,1,0,0,0
bork is shit now,1,0,1,0,0,0
Doesn't ruunan fuck with w targeting?,1,0,1,0,0,0
no shit chat,1,0,0,0,0,0
The fuck was that Fiora thinking? Diving base against 4 people and typing wtf in all chat so dumb,1,0,0,0,0,0
that bitch,1,0,1,0,1,0
RAGEBLADE FUCK YOUR CRIT,1,0,1,0,1,0
Eclipse senna kind of fucking nasty FeelsOkayMan @sneakylol,1,0,1,0,0,0
@wfsdfsfdsfsdfvdsf Rageblade is shit on senna,1,0,1,0,0,0
@Thebausffs tits or ass,1,0,1,0,0,0
man you make my days so fucking much ...,1,0,1,0,0,0
whoever says Aatrox is not balanced come suck my dick,1,0,1,0,1,0
we out this bitch,1,0,1,0,1,0
everyone has fucking shields...,1,0,1,0,1,0
fuck aatrock,1,0,1,0,1,0
you hit the wrong ass fool,1,0,1,0,0,0
shake my dick,1,0,1,0,1,0
smd = shake my dick?,1,0,0,0,0,0
@Thebausffs just scared the shit out of my dog,1,0,0,0,0,0
suck it xD,1,0,1,0,0,0
get shit on,1,0,1,0,0,0
fuck you bauffs,1,0,1,0,1,0
U FUCKING DONUT,1,0,1,0,1,0
fucked in the ass by riot games,1,0,1,0,0,0
TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH TRANSMOGULATE THAT YOU LITTLE BITCH,1,0,1,0,1,0
bitch,1,0,1,0,1,0
FUCK YOU BZUFS ratirlRiot ratirlRiot ratirlRiot,1,0,1,0,1,0
gET shit on by top lulu,1,0,1,0,0,0
he s gonna fuck you in your ass with he s team in tf ratirlLove ratirlRiot ratirlRiot,1,0,1,0,0,0
gay,1,0,0,0,0,1
fiesta fiesta pluma pluma gay,1,0,0,0,0,0
titanic is shit as fck man,1,0,1,0,0,0
TRANSMOCULATE SHIT,1,0,1,0,0,0
fuck me pls,1,0,1,0,0,0
IDIOT STOP COMPLAINING LUILW,1,0,0,0,0,0
they would still shit on you with aatrox,1,0,1,0,0,0
fuck that,1,0,1,0,0,0
"""bro sylas youre so bad"" ""man fuck you, got kys"" ""DUde why does rumble not have prio vs veigar??!""",1,0,1,0,0,0
how the FUCK does archangles not give cdr anymore like wtf ??????,1,0,1,0,0,0
riven might just be good cause lethality items are fucking stupid even though cdr is meh,1,0,1,0,0,0
Why is gragas so fucking fat,1,0,1,0,0,0
fuck if I know,1,0,1,0,0,0
holy shit PogU,1,0,0,0,0,0
who the fuck knows,1,0,1,0,0,0
IDIOT,1,0,0,0,1,0
"@Thebausffs because u havent seen camille, its the most stupid shit right now",1,0,1,0,0,0
fast as fuck boy,1,0,1,0,0,0
gay,1,0,0,0,0,1
because cosmic 1st is shit @Thebausffs,1,0,0,0,0,0
Sadge 2020 is a bitch,1,0,1,0,1,0
yes please fuck men,1,0,1,0,0,0
THE FUCK,1,0,1,0,0,0
fucking outplayed,1,0,1,0,1,0
he fucking did it BibleThump,1,0,1,0,0,0
fuck off yampers let me lick your butt monkeyLick BLELELE,1,0,1,0,0,0
I SUCK,1,0,1,0,1,0
have you guys tried goredrinker with sion? fucking broken ass item,1,0,1,0,0,0
your team is dog shit lol,1,0,0,0,1,0
the game is fucking doomed,1,0,1,0,0,0
holy fast as fuck,1,0,1,0,0,0
that harvesting shit mythic with gragas is insane tbh,1,0,0,0,0,0
no that one is shit,1,0,1,0,0,0
fk nb3,1,0,1,0,0,0
YEP COCK,1,0,1,0,0,0
"@der_bisang he can miss it, long cd, needs grit. camille? she doesn't give a shit, spam Q for 1k true dmg YEP",1,0,0,0,0,0
YEP COCK,1,0,1,0,0,0
COCK YEP,1,0,1,0,0,0
YEP COCL,1,0,1,0,0,0
he dumb kekw,1,0,0,0,1,0
