,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
11940,> yeah but u gotta be dumb for pyke to land a combo on you midlane you cant to shit with no mobility,1,0,0,0,1,0
11956,no one fucking keeps up,0,0,0,0,0,0
11967,riot giga gay,1,0,0,0,1,1
11991,everything about that is so fucking wrong,0,0,0,0,0,0
11995,but they do it such a i dont give a shit way,0,0,0,0,0,0
11998,get fucked corgiyou bitch,1,0,1,0,1,0
12089,Some stupid mother fuckers literally want to fight their own teams more than they want to fight the enemy team it's fucking stupendous,1,0,0,0,0,0
12105,Fuck that champ,1,0,0,0,0,0
12161,Dont bully me! You ass,0,0,0,0,0,0
12229,screw that shit,1,0,0,0,0,0
12284,This fucking guy changes his name to that?,0,0,0,0,0,0
12341,He would have a shit stand and just punch people irl,0,0,0,0,0,0
12402,Oh fuck league is top now,0,0,0,0,0,0
12406,Fuck I exposed myself,0,0,0,0,0,0
12413,no coke or you a bitch,0,0,0,0,0,0
12485,> fuck off,1,0,0,0,0,0
12542,Annoying ass dog champ,1,0,0,0,0,0
12549,damn hate yasuo more,0,0,0,0,0,0
12555,Ill fucking do it,0,0,0,0,0,0
12589,this is scetchy aas fuck and triumph saved my ass in the knick of time,0,0,0,0,0,0
12620,sucks ass,1,0,0,0,0,0
12645,Like the one time I got someone to ask me to get fucking lynched while playing nasus,0,0,0,0,0,0
12663,that shit is still going huh,0,0,0,0,0,0
12698,fuck cant send images,0,0,0,0,0,0
12724,Guess you SUCK,1,0,0,0,1,0
12784,what the fuck is this,1,0,0,0,0,0
12799,calling poppy stupid,0,0,0,0,0,0
12804,i never fucking ward and im diamond,0,0,0,0,0,0
12835,ok fuck my life,0,0,0,0,0,0
12846,u poke the fuck out of him when he does it,0,0,0,0,0,0
12852,mundo can fuck kayle,0,0,0,0,0,0
12854,They can fuck her,1,0,1,0,0,0
12887,just goes to show how fucking terrible my champ is,0,0,0,0,0,0
12921,he fuck,1,0,0,0,0,0
12984,And my friend had to fucking choose tahm kench,1,0,0,0,0,0
12993,Also hes satisfying as fuck to farn with,0,0,0,0,0,0
